ticker,company_name,primary_industry,strategic_domains,value_chain_roles,business_summary,products_services,end_markets,strategic_importance,strategic_importance_rationale,evidence_valid,evidence_failure_reasons,evidence_quotes,accession_number,source_document_url,human_label,review_notes
CRM,Salesforce Inc.,software_and_data,enterprise_software | ai_compute | data_and_analytics | cloud_infrastructure,software_or_service_provider | platform_provider,"Salesforce is a global leader in customer relationship management (CRM) technology, providing a unified platform that integrates sales, service, marketing, commerce, and data management. The company delivers AI-powered solutions, including the Agentforce 360 Platform, to help organizations automate workflows and drive operational efficiencies.","Customer relationship management (CRM) technology | Agentforce 360 Platform | Autonomous AI agents | Sales, service, and marketing solutions | Data management and analytics | Integration and IT service offerings | Industry vertical software solutions | AppExchange enterprise cloud marketplace",Businesses of all sizes | Financial services | Healthcare and life sciences | Manufacturing | Governmental entities | Regulated industries,1,"The company operates in a highly competitive, fragmented market with low barriers to entry and faces significant competition from established vendors and AI-native startups, indicating standard commercial strategic relevance rather than bottleneck potential.",False,quote_not_found,"Salesforce, Inc. is a global leader in customer relationship management (“CRM”) technology... Our artificial intelligence (“AI”) powered Agentforce 360 Platform unites our offerings... on a single, intelligent platform | We sell to businesses of all sizes and in almost every industry worldwide... None of our customers accounted for more than ten percent of our revenues | Our current competitors include: vendors of packaged business software... AI-native companies and emerging startups... software companies that provide their product or service free of charge | The market for our service offerings is highly competitive, rapidly evolving and fragmented, and subject to changing technology with low barriers to entry",0001108524-26-000060,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/crm-20260131.htm,,
CSCO,Cisco Systems Inc.,telecommunications_and_networks,cloud_infrastructure | cybersecurity | telecom_infrastructure,equipment_provider | software_or_service_provider,"Cisco Systems Inc. provides networking and communications equipment and software solutions designed to transport and secure data, voice, and video traffic across cloud, private, and public networks. The company offers a comprehensive suite of hardware and software, including switching, routing, wireless, and server technologies, delivered through direct sales and channel partners.",switching | routing | wireless | servers | software licenses | software-as-a-service (SaaS) | cloud-managed offerings | networking and communications solutions,enterprise | service provider | cloud | private networks | public networks,3,"The company provides essential infrastructure for data transport and security across critical enterprise, cloud, and service provider networks, though it faces intense competition and low barriers to entry in these markets.",True,,"We compete in the networking and communications equipment markets, providing products and services designed to transport, and help secure data, voice, and video traffic across cloud, private and public networks and the Internet. | Our networking business is built on a foundation of industry-leading technologies, including switching, routing, wireless, and servers, offered through a comprehensive suite of both hardware and software solutions. | reduced demand for our products as a result of continued constraints on IT-related capital spending by our customers, particularly service provider and cloud as well as enterprise and other customer markets | A substantial portion of our products and services is sold through our channel partners, and the remainder is sold through direct sales.",0000858877-25-000111,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/csco-20250726.htm,,
CVX,Chevron Corporation,energy_and_utilities,energy_security | energy_transition | grid_and_power,upstream_input_provider | manufacturer | distributor_or_channel,"Chevron Corporation is an integrated energy company engaged in upstream exploration and production of crude oil and natural gas, and downstream refining, marketing, and chemical manufacturing. The company also operates renewable natural gas facilities and produces renewable diesel and sustainable aviation fuel.","Crude oil and natural gas | Refined products (gasoline, diesel, jet fuel) | Lubricants and coolants | Performance additives | Olefins and polyolefins | Renewable natural gas (RNG) | Renewable diesel | Sustainable aviation fuel (SAF)",U.S. and international consumers | Commercial aviation | Industrial consumers | Retail fuel stations | Chemical markets,4,"Chevron is a critical provider of global energy security through its integrated upstream and downstream operations, while simultaneously positioning itself at the center of the energy transition via significant investments in renewable natural gas and low-carbon fuels.",False,quote_not_found,"Chevron’s strategy is to leverage our strengths to safely deliver lower carbon energy to a growing world. | Chevron sells RNG to third parties and through Chevron’s network of 67 compressed natural gas (CNG) stations... Chevron has successfully demonstrated the ability to produce both renewable diesel and SAF. | In the United States, the company markets primarily under the principal brands of “Chevron” and “Texaco.”... Chevron markets commercial aviation fuel to 58 airports worldwide. | Outside the United States, the company has interests in three large refineries in Singapore, South Korea and Thailand.",0000093410-26-000078,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm,,
DDOG,Datadog Inc.,software_and_data,cloud_infrastructure | enterprise_software | data_and_analytics | cybersecurity,software_or_service_provider | platform_provider,"Datadog Inc. provides a cloud-based unified platform for observability, security, and platform engineering, offering end-to-end monitoring and analytics across public, private, and hybrid cloud environments. The company serves enterprise customers, including AI-native and cloud-native cohorts, through a land-and-expand business model.",Infrastructure Monitoring | Application Performance Monitoring (APM) | Log Management | Cloud monitoring | OnCall | Product Analytics | Bits AI SRE Agent | Unified observability and security platform,Enterprise customers | AI-native cohort | Cloud-native cohort | Public sector | Highly regulated entities,2,"The company holds a significant position in the $187 billion IT Operations Management and adjacent markets, serving as a ubiquitous daily tool for developers and operations engineers across major cloud environments.",False,quote_not_found | quote_not_found,"The markets we participate in across Gartner’s IT Operations Management, Security Software, Application Development, and Analytic Platforms market in total represent a $187 billion market opportunity in 2029. | Datadog is designed to be cloud agnostic and easy to deploy, with hundreds of out-of-the-box integrations... provide a unified view of infrastructure, application performance and the real-time events impacting performance. | In 2025, we launched OnCall... Product Analytics... and Bits AI SRE Agent to autonomously investigate alerts, surface root causes, and draft summaries about incidents. | customers in our cloud-native cohort, and more recently larger customers in our AI-native cohort... have rapidly increased their usage of our product.",0001628280-26-008819,https://www.sec.gov/Archives/edgar/data/1561550/000162828026008819/ddog-20251231.htm,,
DELL,Dell Technologies Inc.,technology_hardware,ai_compute | cloud_infrastructure | enterprise_software,manufacturer | platform_provider | software_or_service_provider,"Dell Technologies is a global technology leader providing integrated hardware, software, and services solutions for data and AI infrastructure and client computing. The company operates through Infrastructure Solutions Group and Client Solutions Group, serving enterprise, government, and consumer markets via direct and channel sales.","AI-optimized servers | Traditional servers and networking | Storage offerings | Notebooks, desktops, and workstations | Hybrid cloud solutions | Data center networking | Network security solutions | Dell Payment Solutions financing",Large global and national enterprises | Governmental agencies and public institutions | Educational institutions | Healthcare organizations | Small and medium-sized businesses | Consumers,4,"The company is a critical provider of AI-optimized servers and infrastructure solutions for multicloud environments, facing intense competition and supply chain dependencies while serving large enterprise and government customers.",False,unknown_chunk_id,"We offer a specialized portfolio of AI-optimized servers designed to handle the most demanding compute-intensive workloads, including AI model training, fine-tuning, and inferencing. | ISG enables our customers’ digital transformations with solutions that address AI, machine learning, data analytics, and multicloud environments. | We generally organize our go-to-market operations with a focus on geographic and customer segments that encompass large global and national enterprises, governmental agencies and other public institutions. | Dell Technologies is a leader in the global technology industry focused on providing broad and innovative technology solutions for the data and artificial intelligence (“AI”) era.",0001571996-26-000008,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/dell-20260130.htm,,
DLR,Digital Realty Trust Inc.,cloud_and_data_centers,cloud_infrastructure | ai_compute | data_and_analytics,infrastructure_operator | platform_provider,"Digital Realty Trust, Inc. is a leading global provider of data center, colocation, and interconnection solutions, operating a portfolio of 310 data centers across six continents. The company provides foundational infrastructure services including space, power, and connectivity to support digital business scaling and cloud transformation.","data center solutions | colocation services | interconnection services | cloud-enablement services | space, power and connectivity | ServiceFabric® | PlatformDIGITAL® | Pervasive Data Center Architecture (PDx®)",cloud service providers | IT service firms | social media | content providers | financial services | enterprise customers,4,"The company provides foundational infrastructure critical for cloud, hybrid cloud, and AI technologies, which are identified as significant drivers of demand for data center infrastructure in the digital economy.",True,,"leading global provider of data center, colocation and interconnection solutions | cloud and hybrid cloud solutions and artificial intelligence technologies... will remain significant drivers of demand for data center infrastructure | offer the foundational services of space, power and connectivity | portfolio included 310 data centers... 118 are located in the United States, 113 are located in Europe, 36 are located in Latin America, 16 are located in Africa, 18 are located in Asia, six are located in Australia",0001104659-26-015365,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm,,
DUK,Duke Energy Corporation,energy_and_utilities,grid_and_power | energy_transition,infrastructure_operator | distributor_or_channel,"Duke Energy Corporation operates as a regulated public utility providing retail electric and natural gas services to approximately 8.7 million electric customers and millions of natural gas customers across the Southeast and Midwest U.S. Its operations are organized into Electric Utilities and Infrastructure (EU&I) and Gas Utilities and Infrastructure (GU&I) segments, focusing on generation, transmission, distribution, and sale of energy.",retail electric service | natural gas distribution | electricity generation | electricity transmission | electricity distribution | wholesale power sales | natural gas transportation | competitive auctions for electricity supply,residential customers | commercial customers | industrial customers | municipalities | electric cooperative utilities | load-serving entities,1,"The company is a critical infrastructure operator for regional power grids and natural gas networks, but its strategic importance is rated 1 because it operates in a heavily regulated, competitive utility market where it faces risks from deregulation, alternative energy competition, and transmission constraints rather than holding a unique bottleneck position.",True,,"EU&I provides retail electric service through the generation, transmission, distribution and sale of electricity to approximately 8.7 million customers within the Southeast and Midwest regions of the U.S. | Duke Energy's segment structure includes two reportable business segments: Electric Utilities and Infrastructure (EU&I) and Gas Utilities and Infrastructure (GU&I). | Duke Energy Progress is a regulated public utility primarily engaged in the generation, transmission, distribution and sale of electricity in portions of North Carolina and South Carolina. | Duke Energy Ohio is a regulated public utility primarily engaged in the transmission and distribution of electricity in portions of Ohio and Kentucky... and the transportation and sale of natural gas in portions of Ohio and Kentucky.",0001326160-26-000014,https://www.sec.gov/Archives/edgar/data/1326160/000132616026000014/duk-20251231.htm,,
EME,EMCOR Group Inc.,industrials_and_infrastructure,grid_and_power | industrial_automation | healthcare_infrastructure,software_or_service_provider,"EMCOR Group Inc. is a decentralized provider of electrical and mechanical construction, facilities services, and building services to commercial, technology, manufacturing, industrial, healthcare, utility, and institutional customers. The company operates through approximately 100 subsidiaries primarily within the United States, serving a diverse portfolio of end markets.",electrical construction | mechanical construction | facilities services | building services | snow removal | industrial services | project management | field supervision,commercial | technology | manufacturing | industrial | healthcare | utility,2,"The company provides critical infrastructure construction and maintenance services to essential sectors like utilities and healthcare, but its strategic importance is moderated by the highly competitive nature of the industry and low barriers to entry.",True,,"Our services are provided to a broad range of commercial, technology, manufacturing, industrial, healthcare, utility, and institutional customers | United States electrical construction and facilities services; United States mechanical construction and facilities services; United States building services; and United States industrial services | Our industry is served by numerous small, owner-operated private companies... relatively few barriers exist to prevent entry into most of the industries in which we operate | a portion of their revenues is generated from snow removal contracts",0000105634-26-000025,https://www.sec.gov/Archives/edgar/data/105634/000010563426000025/eme-20251231.htm,,
EQIX,Equinix Inc.,cloud_and_data_centers,cloud_infrastructure | ai_compute | telecom_infrastructure,infrastructure_operator | platform_provider,"Equinix Inc. operates a global digital infrastructure platform providing premium data center colocation, interconnection, and managed infrastructure solutions to enterprises and service providers. The company facilitates hybrid multi-cloud architectures and AI application deployment through its extensive network of 280 data centers across 36 countries.","premium data center colocation | physical and virtual interconnection and data exchange solutions | edge solutions for deploying networking, security and hardware | remote expert support and professional services | Equinix Network Edge | Equinix SmartView | Equinix Smart Hands | Equinix Managed Solutions and Enablement Services",enterprises | hyperscale cloud service providers | network service providers | service providers | partners | customers,4,"The company is positioned as a critical infrastructure provider for AI and hybrid cloud ecosystems, leveraging a network effect from over 500,000 interconnections and serving 2,000+ network service providers to support essential digital workflows.",True,,"Over our 27-year history, we have curated a diverse, industry-leading ecosystem of more than 500,000 interconnections. | With over 10,500 customers, including 2,000+ network service providers and a leading market share of cloud-on ramps, our position is unmatched in the industry. | We offer the following solutions: premium data center colocation; physical and virtual interconnection and data exchange solutions; edge solutions... and remote expert support and professional services. | as a result of the increase in demand for AI infrastructure, we are anticipating chip shortages... This shortage could impact our customers and delay or deter customer server deployments within our IBX data centers.",0001101239-26-000032,https://www.sec.gov/Archives/edgar/data/1101239/000110123926000032/eqix-20251231.htm,,
ETN,Eaton Corporation plc,industrials_and_infrastructure,grid_and_power | cloud_infrastructure | energy_transition | aerospace,manufacturer | component_supplier | equipment_provider,"Eaton Corporation plc is a global power management company that provides electrical components, power distribution systems, and aerospace technologies to customers in utilities, data centers, industrial, and commercial markets. The company is actively expanding its data center and aerospace capabilities through recent acquisitions while planning to spin off its Mobility business.","electrical components and power distribution assemblies | power quality services | aerospace fuel, hydraulics, and pneumatic systems | liquid cooling technology for data centers | solid-state transformer technology | modular solutions for data centers | drivetrains and powertrain systems | hydraulic power generation systems",data centers | utilities | commercial and institutional buildings | industrial facilities | commercial aerospace | military and space markets,4,"Eaton holds a vital role in modernizing infrastructure and accelerating electrification, with a strong competitive position and market leadership in power management solutions critical to data centers and utilities.",False,quote_not_found | quote_not_found,"Eaton plays a vital role in modernizing infrastructure and accelerating the electrification of society... considered among the market leaders. | We are strengthening our participation across the entire electrical power value chain and benefiting from momentum in the data center and utility end markets. | Eaton’s Electrical sector helps customers manage power... From the grid to homes, buildings, data centers and industrials. | Our products and services support innovative technology and mega trends, including, for example, data centers.",0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,,
FIX,Comfort Systems USA Inc.,industrials_and_infrastructure,,software_or_service_provider,"Comfort Systems USA Inc. is a national provider of comprehensive mechanical and electrical installation, renovation, maintenance, repair, and replacement services for commercial, industrial, and institutional facilities. The company operates through two segments: mechanical (primarily HVAC systems) and electrical (construction and engineering).",mechanical installation services | electrical construction and engineering | HVAC system installation | building renovation services | maintenance and repair services | electrical logistics services | chiller and boiler installation | piping and ducting installation,manufacturing facilities | healthcare facilities | education facilities | office facilities | technology facilities | retail facilities,1,"The company operates in a highly fragmented and competitive industry with low barriers to entry, serving as a general contractor for building systems rather than a critical bottleneck provider.",False,quote_not_found,"We are a national provider of comprehensive mechanical and electrical installation, renovation, maintenance, repair and replacement services | We operate primarily in the commercial, industrial and institutional markets and perform most of our work in manufacturing, healthcare, education, office, technology, retail and government facilities. | In our mechanical business segment, customers hire us to ensure heating, ventilation and air conditioning (“HVAC”) systems deliver specified or generally expected heating, cooling, conditioning and circulation of air | The markets we serve are highly fragmented and competitive... low barriers to entry in most of our markets.",0001104659-26-017530,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm,,
FLEX,Flex Ltd.,technology_hardware,cloud_infrastructure | industrial_automation | semiconductor_supply_chain,manufacturer | equipment_provider | software_or_service_provider,"Flex Ltd. is a global advanced manufacturing partner providing end-to-end design, engineering, supply chain, and manufacturing solutions across technology-driven and regulated markets. The company operates through three segments: Integrated Technology Solutions, Regulated Manufacturing Solutions, and Cloud and Power Infrastructure, delivering both manufacturing services and proprietary power and cooling products.",Integrated compute systems | Advanced liquid cooling solutions | Utility and facility-level electrical infrastructure | Mission-critical automation systems | Compute and power electronics platforms | Medical devices and drug delivery equipment | High speed networking systems | Critical and embedded power products,Cloud and data center | Automotive | Healthcare | Industrial | Communications | Lifestyle,3,"Flex holds strategic importance by providing integrated, high-density power and cooling infrastructure solutions essential for modern data center deployments, while also serving as a critical manufacturing partner for regulated and technology-driven end markets.",True,,"Our new CPI segment is focused on delivering integrated compute systems, power, and cooling technologies that support large-scale cloud, data center, and AI-enabled infrastructure deployments. | Cloud and Cooling, integrated compute systems supporting power‑dense digital infrastructure deployments, and advanced liquid cooling solutions supporting higher-density, power-intensive rack architectures | Flex is the advanced, end-to-end manufacturing partner of choice that helps a diverse customer base design, build, deliver and manage products that improve the world. | Our capabilities in this area include: Critical power products, Embedded power products, Thermal management products, Compute and rack‑level infrastructure",0000866374-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000086637426000012/flex-20260331.htm,,
FLNC,Fluence Energy Inc.,energy_and_utilities,grid_and_power | energy_transition | energy_security,manufacturer | software_or_service_provider,"Fluence Energy Inc. provides battery energy storage systems, recurring operations and maintenance services, and digital applications for energy storage and other power assets. The company operates in the utility-scale battery storage industry, serving customers driven by the global transition to renewable energy and grid resilience needs.",battery energy storage systems | recurring O&M services | digital applications for energy storage | digital applications for other power assets,energy industry | data centers | utilities | grid services,3,"The company provides critical energy storage solutions that support the global transition to renewable energy and grid resilience, a sector experiencing unprecedented growth driven by regulatory frameworks and increased electricity demand.",False,quote_not_found,"Our energy storage products, solutions, services, and digital applications are designed to meet the unique demands of the energy industry. | Our offerings include energy storage products and solutions, recurring O&M services, and digital applications for energy storage and other power assets. | The utility-scale battery storage industry continues to experience unprecedented growth fueled by... the global transition toward renewable energy... heightened focus on grid resilience. | electricity demand is forecasted to grow substantially... driven to some extent by data centers and AI... data centers are expected to consume approximately 6.7% to 12% of total U.S. electricity by 2028.",0001868941-25-000081,https://www.sec.gov/Archives/edgar/data/1868941/000186894125000081/flnc-20250930.htm,,
FN,Fabrinet,technology_hardware,telecom_infrastructure | semiconductor_supply_chain | industrial_automation,manufacturer,"Fabrinet provides advanced optical packaging and precision optical, electro-mechanical, and electronic manufacturing services to original equipment manufacturers (OEMs). The company serves the optical communications, automotive, industrial lasers, medical, and sensors markets.",optical communications devices | industrial lasers | sensors | optical packaging | precision optical manufacturing | electro-mechanical manufacturing | electronic manufacturing services | complex printed circuit board assembly,optical communications | automotive | industrial lasers | medical devices | sensors | semiconductor processing,2,"The company is a global leader in precision manufacturing for optical communications and industrial lasers, but its strategic importance is moderated by significant competition from customer internal manufacturing and other third-party manufacturers.",True,,"We provide advanced optical packaging and precision optical, electro-mechanical and electronic manufacturing services to original equipment manufacturers (“OEMs”) | we believe we are a global leader in providing these services to the optical communications, automotive, and industrial lasers markets. | We believe the internal manufacturing capabilities of current and prospective customers are our primary competition. | Our principal manufacturing facilities are located in Thailand.",0001408710-25-000039,https://www.sec.gov/Archives/edgar/data/1408710/000140871025000039/fn-20250627.htm,,
GEV,GE Vernova Inc.,energy_and_utilities,grid_and_power | energy_transition | energy_security,manufacturer | equipment_provider | software_or_service_provider,"GE Vernova Inc. is a global leader in the electric power industry that designs, manufactures, delivers, and services technologies to generate, transfer, and store electricity. The company operates through Power, Wind, and Electrification segments to help customers electrify operations and navigate the energy transition.",gas and steam turbines | small modular reactors | nuclear fuel and support services | wind turbines and blades | grid solutions | power conversion technologies | solar and storage solutions | hydropower generation solutions,utilities | independent power producers | industrial customers | government | hyperscalers | data centers,4,The company's installed base generates approximately 25% of the world’s electricity and provides critical dispatchable power and grid solutions essential for electrification and decarbonization.,False,quote_not_found | quote_not_found,"Our installed base generates approximately 25% of the world’s electricity. | GE Vernova Inc. is a global leader in the electric power industry, with products and services that generate, transfer, orchestrate, convert, and store electricity. | Gas Power - offers a wide spectrum of heavy-duty and aeroderivative gas turbines for utilities, independent power producers, and numerous industrial applications | We believe that gas power plays an essential role in the energy transition, serving as a fundamental source of reliable and dispatchable power to support industrialization, grid stability needs, and rising electricity demand from hyperscalers and data centers.",0001996810-26-000015,https://www.sec.gov/Archives/edgar/data/1996810/000199681026000015/gev-20251231.htm,,
GLW,Corning Inc.,materials_and_mining,telecom_infrastructure | cloud_infrastructure | semiconductor_supply_chain | industrial_automation,manufacturer | upstream_input_provider | component_supplier,"Corning Inc. is a global materials science company that manufactures optical fiber, display glass, automotive glass, and specialty materials for telecommunications, electronics, and industrial markets. The company operates in five reportable segments: Optical Communications, Display, Specialty Materials, Automotive, and Life Sciences.","optical fiber, cable and connectivity solutions | damage-resistant cover materials for mobile devices | precision glass for advanced displays | glass substrates for flat panel displays | automotive ceramic substrate and filter products | high-purity polysilicon products | pharmaceutical glass tubing and vials | clean-air technologies and technical glass",semiconductor | telecommunications | automotive | data centers | solar power | pharmaceutical,4,"Corning holds a leadership position in optical fiber and is the largest worldwide producer of glass substrates for flat panel displays, while its products are critical for AI-driven data center connectivity and semiconductor manufacturing.",True,,"Corning’s industry-leading products include... optical fiber, cable and connectivity solutions for advanced communications networks... enabling artificial intelligence | We are the largest worldwide producer of glass substrates for flat panel displays. | HSG is a leading provider of high-purity polysilicon products for the solar power and electronics industries... used to create fabricated wafers and integrated circuit chips | Corning manufactures products in 14 countries and operates in five reportable segments: Optical Communications, Display, Specialty Materials, Automotive and Life Sciences.",0000024741-26-000124,https://www.sec.gov/Archives/edgar/data/24741/000002474126000124/glw-20251231.htm,,
GOOGL,Alphabet Inc.,software_and_data,ai_compute | cloud_infrastructure | data_and_analytics | consumer_platform,platform_provider | software_or_service_provider | infrastructure_operator,"Alphabet Inc. operates primarily through Google, providing online advertising, cloud computing services, and consumer hardware and subscriptions, while also investing in advanced AI research and development.","AI Overviews and AI Mode in Search | Google Cloud Platform enterprise AI solutions | Vertex AI platform and Gemini Enterprise | Google Workspace collaboration tools | YouTube TV, Music, and Premium subscriptions | Google Play platform and app sales | Pixel family of devices | AI-optimized infrastructure including TPUs and GPUs",advertisers | enterprises | consumers | developers | financial services customers | healthcare customers,5,"The company controls critical AI-optimized infrastructure and frontier models that power its core platforms and serve external enterprise customers, creating a bottleneck in advanced AI compute and software capabilities.",True,,"At the foundation of our full-stack approach is our AI-optimized infrastructure — a key differentiator enabling us to power our own products... and support the services we provide to our Google Cloud customers. | As we continue to incorporate AI into our products and services, such as with AI Overviews and AI Mode in Search, and with enterprise AI solutions on our Google Cloud Platform... | These services provide access to solutions such as AI offerings including our enterprise AI infrastructure, Vertex AI platform, and Gemini Enterprise; cybersecurity offerings; and data and analytics solutions; | Our ability to deploy certain AI technologies critical for our products and services and for our business strategy may depend on the availability and pricing of third-party equipment and other technical infrastructure operations costs...",0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,,
GS,Goldman Sachs Group Inc.,financial_services,financial_infrastructure,capital_provider | platform_provider,"The Goldman Sachs Group, Inc. is a leading global financial institution that delivers a broad range of financial services to corporations, financial institutions, governments, and individuals. The company operates through three segments: Global Banking & Markets, Asset & Wealth Management, and Platform Solutions.",investment banking fees | advisory services | equity and debt underwriting | FICC intermediation | Equities intermediation | relationship lending | asset management | credit cards,corporations | financial institutions | governments | individuals,1,"The company is a leading global financial institution providing essential banking and market services, but the filing does not disclose specific bottleneck potential or critical infrastructure dependencies that would elevate its strategic importance beyond standard industry participation.",True,,"The Goldman Sachs Group, Inc. ... is a leading global financial institution that delivers a broad range of financial services to a large and diversified client base that includes corporations, financial institutions, governments and individuals. | Global Banking & Markets generates revenues from investment banking fees, including advisory, and equity and debt underwriting fees, Fixed Income, Currency and Commodities (FICC) intermediation and financing activities and Equities intermediation and financing activities | Asset & Wealth Management generates revenues from management and other fees, incentive fees, private banking and lending and investments. | Substantially all of the revenues in Platform Solutions are from activities related to issuing credit cards to and raising deposits from Apple Card customers",0000886982-26-000091,https://www.sec.gov/Archives/edgar/data/886982/000088698226000091/gs-20251231.htm,,
HD,Home Depot Inc.,consumer_and_retail,consumer_platform,distributor_or_channel,"The Home Depot is the world’s largest home improvement retailer, operating 2,359 stores and a distribution network across the U.S., Canada, and Mexico. It offers a wide assortment of home improvement products, building materials, and facilities MRO products, along with installation services and tool/equipment rental.",home improvement products | building materials | lawn and garden products | décor products | facilities MRO products | home improvement installation services | tool and equipment rental | residential specialty trade distribution,homeowners | professional contractors | roofers | landscapers | pool contractors | general construction,1,"The company operates as a large-scale consumer retailer in a highly competitive, fragmented market without disclosed evidence of bottleneck potential or critical infrastructure control.",True,,"The Home Depot, Inc. is the world’s largest home improvement retailer based on net sales for fiscal 2025. | We offer our customers a wide assortment of home improvement products, building materials, lawn and garden products, décor products, and facilities MRO products... We also provide a number of services, including home improvement installation services, and tool and equipment rental. | As of the end of fiscal 2025, we operated 2,359 stores located throughout the U.S. (including the Commonwealth of Puerto Rico and the territories of the U.S. Virgin Islands and Guam), Canada, and Mexico. | In fiscal 2024, we acquired SRS, a leading residential specialty trade distribution company... serving the professional roofer, landscaper, and pool contractor.",0001628280-26-019436,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm,,
HON,Honeywell International Inc.,diversified_or_other,aerospace | industrial_automation | energy_security | energy_transition | cybersecurity,component_supplier | equipment_provider | manufacturer | software_or_service_provider | diversified,"Honeywell International Inc. is a diversified technology and manufacturing company operating through Aerospace Technologies, Building Automation, Process Automation and Technology, and Industrial Automation segments. The company provides products, software, and services for aircraft, buildings, industrial processes, and energy solutions globally.",auxiliary power units | propulsion engines | integrated avionics | building control software | sensors and control systems | process technology and catalysts | gas detection technologies | Honeywell Forge platform,commercial air transport | defense and space | building owners and occupants | refining and petrochemicals | warehouse and logistics | utilities,3,The company holds a significant competitive position in major product areas with a $37.5 billion backlog and critical roles in aerospace supply chains and industrial automation infrastructure.,False,quote_not_found,"Aerospace Technologies is a leading global supplier of products, software, and services for aircrafts that it sells to original equipment manufacturers (OEM) and other customers | Industrial Automation is a global provider of industrial automation solutions that deliver intelligent, sustainable, and secure operations for customers in refining/petrochemicals, life sciences, utilities, and warehouse and logistics segments | Energy and Sustainability Solutions (ESS) is enabling energy security for customers globally through a century of domain expertise and innovation to provide efficient and responsible energy expansion | Our international operations, including U.S. exports, represent more than half of the Company’s sales",0000773840-26-000013,https://www.sec.gov/Archives/edgar/data/773840/000077384026000013/hon-20251231.htm,,
HPE,Hewlett Packard Enterprise Company,technology_hardware,ai_compute | cloud_infrastructure | telecom_infrastructure,manufacturer | platform_provider | software_or_service_provider,"Hewlett Packard Enterprise Company provides enterprise IT infrastructure products, solutions, and services, including servers, networking, and hybrid cloud platforms, organized into Cloud & AI, Networking, and Corporate Investments segments. The company supports customers with turnkey AI factory solutions, supercomputing systems, and financial services to facilitate technology adoption.",HPE Private Cloud AI | scalable AI servers | HPE Cray EX supercomputing solutions | HPE ProLiant servers | HPE GreenLake cloud | AI-native networking solutions | Alletra MP storage | IT life cycle services,sovereign customers | enterprise customers | AI data center customers | hybrid cloud environments | government agencies | telecommunications operators,4,"HPE holds a differentiated position in the critical AI infrastructure market through its turnkey AI factory solutions and supercomputing heritage, serving as a key enabler for enterprise and sovereign AI workloads.",False,quote_not_found | quote_not_found | quote_not_found,"HPE is focused on sovereign and enterprise customers... leveraging our supercomputing heritage and turnkey AI factory solutions, including HPE Private Cloud AI and scalable AI servers. | HPE concentrates its portfolio around the megatrends of networking, cloud, and AI... as we believe that these three strategic IT markets each serve as an essential building block for modern IT infrastructures. | Server business operates in the highly competitive AI and enterprise data center infrastructure market and the market for data-intensive, high-performance supercomputing... solutions. | The AI market requires a modern and high-performing networking fabric as a core foundation to deliver a more efficient data-center cloud, which we offer through our AI-native portfolio.",0001645590-25-000130,https://www.sec.gov/Archives/edgar/data/1645590/000164559025000130/hpe-20251031.htm,,
IBM,International Business Machines Corporation,software_and_data,cloud_infrastructure | ai_compute | enterprise_software | cybersecurity | data_and_analytics,platform_provider | software_or_service_provider | equipment_provider,"IBM is a globally integrated enterprise that helps clients leverage hybrid cloud and artificial intelligence to drive digital transformation and operational efficiencies. The company provides software, consulting services, and mission-critical infrastructure solutions across various industries.",hybrid cloud platform | AI technologies and solutions | server and storage solutions | consulting services | mission-critical infrastructure | software offerings | application development services | business process outsourcing services,financial services | healthcare | critical infrastructure | government | commercial enterprises,4,"IBM holds a leadership position in hybrid cloud and AI infrastructure, providing critical platforms and mission-critical systems to heavily regulated sectors like government, finance, and healthcare, while facing significant supply chain dependencies for server processors.",True,,"we create sustained value for clients by helping them leverage the power of hybrid cloud and artificial intelligence (AI)... deep incumbency in mission-critical infrastructure | IBM is well positioned in the growing hybrid cloud infrastructure market, providing on-premises and cloud-based server and storage solutions. | These products, services, systems and networks are also used by customers in heavily regulated industries, including those in the financial services, healthcare, critical infrastructure and government sectors. | Certain of the company’s businesses rely on a single or a limited number of suppliers, including for server processor technology for certain semiconductors.",0000051143-26-000010,https://www.sec.gov/Archives/edgar/data/51143/000005114326000010/ibm-20251231.htm,,
