ticker,company_name,category,headline,modality,significance,statement,evidence_quote,evidence_valid,evidence_failure_reason,source_section,accession_number,source_document_url,review_bucket,human_label,review_notes
AEP,American Electric Power Company Inc.,capacity_and_supply,Large-scale capacity procurement to meet AI-driven demand,current_fact,5,"AEP is seeking approximately 12,700 MWs of generating capacity through RFPs and added 2.2 GWs of owned capacity in 2025 to support forecasted load requirements.","RFPs seeking approximately 12,700 MWs of generating capacity. The addition of 2.2 GWs of owned generating capacity in 2025.",True,,item_7_mdna,0000004904-26-000013,https://www.sec.gov/Archives/edgar/data/4904/000000490426000013/aep-20251231.htm,evidence_valid,,
ALAB,Astera Labs Inc.,customer_concentration,Single customer accounts for over 70% of revenue,current_fact,5,"One end customer represented more than 70% of revenue in 2025, with the top three representing 86%.","In 2025, one end customer represented more than 70% of our revenue; the top three end customers represented an aggregate of approximately 86% of our revenue.",True,,item_1a_risk_factors,0001736297-26-000010,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,evidence_valid,,
ALAB,Astera Labs Inc.,supplier_or_infrastructure_dependency,TSMC is sole manufacturing partner for integrated circuits,current_fact,5,"The company relies exclusively on TSMC for IC fabrication, with no qualified alternative source currently.",We currently partner with TSMC to manufacture our integrated circuits. TSMC is our sole manufacturing partner for our integrated circuits and we currently have not qualified another source.,True,,item_1a_risk_factors,0001736297-26-000010,https://www.sec.gov/Archives/edgar/data/1736297/000173629726000010/alab-20251231.htm,evidence_valid,,
AMAT,Applied Materials Inc.,demand_and_revenue,"Forward-looking demand supported by AI, data center, and HBM adoption",forward_looking,5,"Investments by semiconductor equipment customers are expected to remain strong, driven by high-bandwidth memory adoption, advanced packaging, and AI/data center computing demand.","Investments by semiconductor equipment customers are expected to remain strong with growth in the adoption of high-bandwidth memory and other forms of advanced packaging, continued demand for AI and data center computing...",True,,item_7_mdna,0001628280-25-056742,https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm,evidence_valid,,
AMD,Advanced Micro Devices Inc.,partnership_or_mna,AMD secures 6GW GPU deployment with OpenAI,current_fact,5,"AMD entered a product purchase agreement with OpenAI to deploy 6 gigawatts of AMD GPUs, starting with the Instinct MI450 series.","In October 2025, we entered into a product purchase agreement with OpenAI OpCo, LLC, (OpenAI) to deploy 6 gigawatts of AMD GPUs",True,,item_1_business,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,evidence_valid,,
AMD,Advanced Micro Devices Inc.,supplier_or_infrastructure_dependency,TSMC sole source for sub-7nm wafer fabrication,current_fact,5,AMD relies exclusively on TSMC for all microprocessor and GPU wafers at 7nm or smaller nodes.,We rely on Taiwan Semiconductor Manufacturing Company Limited (TSMC) for the production of all wafers for microprocessor and GPU products at 7 nanometer (nm) or smaller nodes,True,,item_1a_risk_factors,0000002488-26-000018,https://www.sec.gov/Archives/edgar/data/2488/000000248826000018/amd-20251227.htm,evidence_valid,,
AMZN,Amazon.com Inc.,capacity_and_supply,AWS long-term contract commitments total $244 billion,current_fact,5,"Amazon has approximately $244 billion in unrecognised performance obligations for future AWS services as of December 31, 2025, with a weighted average life of 4.1 years.","performance obligations, primarily related to AWS... commitments not yet recognized were approximately $244 billion as of December 31, 2025.",True,,item_7_mdna,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,evidence_valid,,
ANET,Arista Networks Inc.,customer_concentration,Two customers account for 42% of revenue,current_fact,5,"Sales to two end customers represented 42% of total revenue in 2025, with one customer at 26% and the other at 16%.","Sales to one end customer represented 16%, 15%, and 21% of our total revenue, and sales to the other end customer represented 26%, 20%, and 18% of our total revenue for the years ended December 31, 2025, 2024, and 2023, respectively.",True,,item_7_mdna,0001596532-26-000013,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,evidence_valid,,
ANET,Arista Networks Inc.,supplier_or_infrastructure_dependency,Reliance on Broadcom for switching chips,current_fact,5,"The company is primarily reliant on Broadcom as the predominant merchant silicon vendor for switching chips, with no guaranteed supply contracts.","In particular, we are primarily reliant upon our predominant merchant silicon vendor, Broadcom, for our switching chips. Generally, neither we nor our contract manufacturers have a written agreement with these component providers to guarantee the supply of the key components used in our products...",True,,item_1_business,0001596532-26-000013,https://www.sec.gov/Archives/edgar/data/1596532/000159653226000013/anet-20251231.htm,evidence_valid,,
APH,Amphenol Corporation,capital_allocation,Company borrowed $1.5B under Delayed Draw Term Loans for CommScope,current_fact,5,"The Company borrowed $1,534.1 under each of the Delayed Draw Term Loans in January 2026 to fund a portion of the consideration for the CommScope acquisition.","However, the Company borrowed $1,534.1 under each of the Delayed Draw Term Loans in January 2026 to fund a portion of the consideration for the CommScope acquisition.",True,,item_7_mdna,0001104659-26-013549,https://www.sec.gov/Archives/edgar/data/820313/000110465926013549/aph-20251231x10k.htm,evidence_valid,,
APLD,Applied Digital Corporation,partnership_or_mna,Macquarie invests up to $900M in HPC unit purchase,current_fact,5,"MAM agreed to invest up to $900 million in APLDH for Polaris Forge 1 construction, receiving preferred and common units.",MAM will invest up to $900 million to fund the equity portion of the construction costs for Polaris Forge 1... MAM also will have a right to invest up to an additional $4.1 billion,True,,item_7_mdna,0001144879-25-000021,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm,evidence_valid,,
ARM,Arm Holdings plc,technology_and_product,"Arm launches first production silicon, the Arm AGI CPU",current_fact,5,"Arm expanded offerings to include its first production silicon product, the Arm AGI CPU, in March 2026.","In March 2026, we expanded our offerings to include our first production silicon product, the Arm AGI CPU.",True,,item_4_company_information,0001973239-26-000097,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,evidence_valid,,
ASML,ASML Holding N.V.,demand_and_revenue,2026 Revenue Outlook Raised on AI-Driven Capacity Expansion,forward_looking,5,"ASML raised full-year 2026 revenue guidance to €34-39 billion, citing accelerated capacity expansion by advanced Logic and DRAM customers driven by AI demand.","Looking to 2026, we expect full-year revenue between €34 billion and €39 billion... mainly due to the anticipated increase and acceleration of capacity expansion plans by our advanced Logic and DRAM customers to meet the strong end-market demand driven by AI.",True,,full_filing,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,evidence_valid,,
ASML,ASML Holding N.V.,supplier_or_infrastructure_dependency,Sole Source Optical Dependency on Carl Zeiss SMT,risk_hypothetical,5,ASML relies exclusively on Carl Zeiss SMT for critical optical components; any disruption or termination of this relationship would effectively cease ASML's ability to conduct business.,"The number of lithography systems we are able to produce is limited by the production capacity of one of our key suppliers, Carl Zeiss SMT, our sole supplier of lenses... if Carl Zeiss SMT were to terminate its supply relationship with us... we would effectively cease to be able to conduct our business.",True,,full_filing,0001628280-26-011378,https://www.sec.gov/Archives/edgar/data/937966/000162828026011378/asml-20251231.htm,evidence_valid,,
AVGO,Broadcom Inc.,customer_concentration,Single distributor accounts for 32% of net revenue,current_fact,5,"One semiconductor solutions customer, a distributor, accounted for 32% of net revenue in fiscal 2025, up from 28% in 2024.","Direct sales to one semiconductor solutions customer, which is a distributor, accounted for 32% and 28% of our net revenue for fiscal years 2025 and 2024, respectively.",True,,item_7_mdna,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,evidence_valid,,
AVGO,Broadcom Inc.,supplier_or_infrastructure_dependency,95% of wafer manufacturing sourced from TSMC,current_fact,5,Approximately 95% of wafers manufactured by contract manufacturers were produced by TSMC in fiscal 2025.,"During fiscal year 2025, approximately 95% of the wafers manufactured by our CMs were produced by TSMC.",True,,item_1a_risk_factors,0001730168-25-000121,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,evidence_valid,,
BE,Bloom Energy Corporation,partnership_or_mna,AEP secures up to 1 GW of fuel cells via landmark supply agreement,current_fact,5,"Bloom Energy entered a strategic partnership with American Electric Power (AEP) for up to 1 GW of solid oxide fuel cells, starting with a 100 MW initial order.",AEP is expected to procure up to 1 GW of Bloom’s solid oxide fuel cells... initial order of 100 MW and additional expansion phases expected in future years.,True,,full_filing,0001628280-26-006516,https://www.sec.gov/Archives/edgar/data/1664703/000162828026006516/be-20251231.htm,evidence_valid,,
BE,Bloom Energy Corporation,partnership_or_mna,Brookfield establishes $5.0 billion financing framework for AI infrastructure,current_fact,5,Bloom Energy partnered with Brookfield to create a prospective $5.0 billion financing framework over five years for fuel cell projects via an AI Infrastructure Fund.,established a prospective financing framework of up to $5.0 billion over five years... housed within an AI Infrastructure Fund created by Brookfield,True,,full_filing,0001628280-26-006516,https://www.sec.gov/Archives/edgar/data/1664703/000162828026006516/be-20251231.htm,evidence_valid,,
CEG,Constellation Energy Corporation,partnership_or_mna,Completed $22B Calpine acquisition for scale and diversification,current_fact,5,"Acquired 100% of Calpine for $22B, adding 23 GW of natural gas, geothermal, and storage capacity plus a competitive retail platform.","On January 7, 2026, we acquired 100% of the outstanding equity of Calpine for a purchase price of approximately $22 billion.",True,,item_1_business,0001868275-26-000032,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/ceg-20251231.htm,evidence_valid,,
CLS,Celestica Inc.,demand_and_revenue,Q4 2025 revenue surge driven by hyperscaler AI compute acceleration,current_fact,5,"Q4 2025 revenue increased 14% sequentially to $3,654.9 million, with Enterprise end market revenue jumping 59% due to next-generation AI/ML compute program acceleration with a hyperscaler.","Enterprise end market revenue increased $275.1 million (59%) sequentially, driven by the acceleration of the next-generation AI/ML compute program with a hyperscaler customer.",True,,item_7_mdna,0001030894-26-000011,https://www.sec.gov/Archives/edgar/data/1030894/000103089426000011/cls-20251231.htm,evidence_valid,,
COHR,Coherent Corp.,capital_allocation,Silicon Carbide subsidiary secured $1.0 billion equity investment,current_fact,5,Coherent's subsidiary Silicon Carbide LLC received $1.0 billion cash in exchange for 25% equity to fund future capital expansion.,"On December 4, 2023, the Company completed two investment agreements under which Silicon Carbide LLC, a Company subsidiary, received $1.0 billion cash in exchange for 25% of the equity of that entity.",True,,item_7_mdna,0000820318-25-000014,https://www.sec.gov/Archives/edgar/data/820318/000082031825000014/iivi-20250630.htm,evidence_valid,,
CORZ,Core Scientific Inc.,partnership_or_mna,CoreWeave contract expanded to 590 MW leased capacity,current_fact,5,Core Scientific expanded its long-term contract with CoreWeave to approximately 590 MW of leased customer power capacity through contractual options exercised in 2024 and early 2025.,"Through the exercise of several contractual options during 2024 and into early 2025, total leased customer power capacity under the relationship with CoreWeave increased to approximately 590 MW of leased power capacity.",True,,item_1_business,0001628280-26-013305,https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm,evidence_valid,,
CRDO,Credo Technology Group Holding Ltd,customer_concentration,Top 10 customers account for 90% of revenue,current_fact,5,"In fiscal 2026, sales to the top 10 customers represented approximately 90% of total revenue, indicating extreme customer concentration.","In fiscal 2026, sales to our top 10 customers accounted for approximately 90% of our total revenue.",True,,item_1a_risk_factors,0001628280-26-043303,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,evidence_valid,,
CRDO,Credo Technology Group Holding Ltd,supplier_or_infrastructure_dependency,Exclusive reliance on TSMC for wafer fabrication,current_fact,5,"Credo exclusively utilized TSMC for semiconductor wafer production in fiscal 2026, with no long-term supply contracts guaranteeing capacity.","In fiscal year 2026, we exclusively used Taiwan Semiconductor Manufacturing Company Limited (TSMC) for semiconductor wafer production.",True,,item_1_business,0001628280-26-043303,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,evidence_valid,,
CVX,Chevron Corporation,capital_allocation,Hess acquisition synergy target achieved,current_fact,5,Chevron completed the Hess acquisition and achieved the initial run-rate synergy target of $1 billion.,"Completed the acquisition of Hess, creating a combined company with a premier upstream portfolio and achieving the initial run-rate synergy target of $1 billion.",True,,item_7_mdna,0000093410-26-000078,https://www.sec.gov/Archives/edgar/data/93410/000009341026000078/cvx-20251231.htm,evidence_valid,,
DELL,Dell Technologies Inc.,demand_and_revenue,AI server demand drives backlog growth and revenue mix shift,current_fact,5,"Significant increased demand for AI-optimized servers drove substantial backlog growth and shifted business mix toward ISG, while traditional server demand also outpaced supply.",Our ISG business continued to benefit from significant increased demand for our AI-optimized servers offerings... resulting in a substantial increase in backlog as we exited the year.,True,,item_7_mdna,0001571996-26-000008,https://www.sec.gov/Archives/edgar/data/1571996/000157199626000008/dell-20260130.htm,evidence_valid,,
DLR,Digital Realty Trust Inc.,capacity_and_supply,769 MW development pipeline with 64% pre-leased,current_fact,5,"Digital Realty has 769 megawatts of projects underway globally, with 64% of this capacity already pre-leased as of December 31, 2025.","As of December 31, 2025, we had 769 megawatts of projects underway across multiple metropolitan areas around the world, and 64% of this data center activity was pre-leased.",True,,item_7_mdna,0001104659-26-015365,https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm,evidence_valid,,
DUK,Duke Energy Corporation,demand_and_revenue,Amazon $10B investment signals major load growth,forward_looking,5,"Amazon plans a $10 billion AI campus in North Carolina, creating significant generation load demand for Duke Energy.","Amazon's planned $10 billion investment to launch a new high-tech cloud computing and AI innovation campus in Richmond County, North Carolina.",True,,item_1a_risk_factors,0001326160-26-000014,https://www.sec.gov/Archives/edgar/data/1326160/000132616026000014/duk-20251231.htm,evidence_valid,,
ETN,Eaton Corporation plc,partnership_or_mna,Acquisition of Fibrebond for $1.43B expands data center modular power presence,current_fact,5,Eaton acquired Fibrebond Corporation for $1.43 billion to expand its presence in modular solutions for multi-tenant and hyperscale data center customers.,"On April 1, 2025, Eaton acquired Fibrebond Corporation (Fibrebond) for $1.43 billion, net of cash acquired. Fibrebond is a U.S. based designer and builder of pre-integrated modular power enclosures for data center...",True,,item_7_mdna,0001551182-26-000007,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,evidence_valid,,
FIX,Comfort Systems USA Inc.,demand_and_revenue,Same-store revenue growth driven by technology sector demand,current_fact,5,"Same-store revenue increased 26.1%, largely driven by strong market conditions and increased backlog, with especially strong demand in the technology sector for data centers.","26.1% increase in revenue related to same-store activity... largely driven by strong market conditions... increase in demand has been especially strong in the technology sector, particularly for data centers.",True,,item_7_mdna,0001104659-26-017530,https://www.sec.gov/Archives/edgar/data/1035983/000110465926017530/fix-20251231x10k.htm,evidence_valid,,
FLEX,Flex Ltd.,demand_and_revenue,CPI segment revenue surges on data center demand,historical_fact,5,"Cloud and Power Infrastructure segment net sales increased 38% year-over-year, driven by strong data center demand.","Net sales in our CPI segment increased by $1.8 billion, or 38% from fiscal year 2025, driven by a 29% increase in our Cloud and Cooling business and 61% growth in our Power business.",True,,item_7_mdna,0000866374-26-000012,https://www.sec.gov/Archives/edgar/data/866374/000086637426000012/flex-20260331.htm,evidence_valid,,
GOOGL,Alphabet Inc.,capacity_and_supply,AI compute capacity constrained by power and limited supplier base,risk_hypothetical,5,"Alphabet discloses that scaling technical infrastructure is increasingly constrained by power, water, and land availability, with AI accelerator supply limited to a small number of qualified suppliers.","Our ability to scale our technical infrastructure is increasingly constrained by the availability of power, water, and land... manufacturing and supply of servers and network equipment... particularly for specialized AI chips, is limited to a small number of qualified suppliers.",True,,item_1a_risk_factors,0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,evidence_valid,,
GOOGL,Alphabet Inc.,partnership_or_mna,Pending $32 billion acquisition of Wiz to bolster cloud security,forward_looking,5,"Alphabet entered a definitive agreement to acquire Wiz for $32 billion in an all-cash transaction, expected to close in 2026, integrating into Google Cloud.","In March 2025, we entered into a definitive agreement to acquire Wiz, a leading cloud security platform, for $32.0 billion, subject to closing adjustments, in an all-cash transaction.",True,,item_7_mdna,0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,evidence_valid,,
GS,Goldman Sachs Group Inc.,demand_and_revenue,Global Banking & Markets revenue up 18% to $41.45 billion,current_fact,5,"2025 net revenues in Global Banking & Markets were $41.45 billion, an 18% increase from 2024, driven by higher investment banking fees and underwriting activity.","Net revenues in Global Banking & Markets were $41.45 billion for 2025, 18% higher than 2024. Investment banking fees were $9.34 billion, 21% higher than 2024, primarily due to significantly higher net revenues in Advisory...",True,,item_7_mdna,0000886982-26-000091,https://www.sec.gov/Archives/edgar/data/886982/000088698226000091/gs-20251231.htm,evidence_valid,,
HD,Home Depot Inc.,partnership_or_mna,Completed GMS acquisition for $5.5B to expand building materials distribution,current_fact,5,"Home Depot completed the acquisition of GMS for approximately $5.5 billion, making it a wholly owned subsidiary to enhance its multi-category building materials distribution capabilities.","the merger was completed on September 4, 2025. As a result of the merger, GMS became a direct subsidiary of SRS and an indirect, wholly owned subsidiary of the Company.",True,,item_1_business,0001628280-26-019436,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm,evidence_valid,,
HPE,Hewlett Packard Enterprise Company,partnership_or_mna,HPE completes Juniper Networks acquisition for $13.4 billion,current_fact,5,"HPE completed the merger with Juniper Networks on July 2, 2025, paying $40.00 per share for approximately $13.4 billion in cash consideration.","On July 2, 2025, the Company completed the Juniper Networks, Inc. (“Juniper Networks”) merger... HPE agreed to pay $40.00 per share... representing a cash consideration of approximately $13.4 billion.",True,,item_7_mdna,0001645590-25-000130,https://www.sec.gov/Archives/edgar/data/1645590/000164559025000130/hpe-20251031.htm,evidence_valid,,
INTC,Intel Corporation,capacity_and_supply,Intel 14A foundry node at risk of pause without external customer,risk_hypothetical,5,"Intel may pause or discontinue its Intel 14A node if it fails to secure a significant external foundry customer, potentially shifting manufacturing to third parties like TSMC.","We announced that if we are unable to secure a significant external foundry customer for Intel 14A, we may pause or discontinue our pursuit of Intel 14A and successor leading-edge process technologies.",True,,full_filing,0000050863-26-000011,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/intc-20251227.htm,evidence_valid,,
IREN,IREN Ltd,capacity_and_supply,Major GPU fleet expansion to 10.9k units by year-end 2025,forward_looking,5,"IREN procured approximately 10.9k NVIDIA B200, B300, and GB300 GPUs to be installed at Prince George by end of 2025, significantly expanding AI compute capacity.","procured... approximately 5.5k NVIDIA B200 GPUs, 2.3k NVIDIA B300 GPUs and 1.2k NVIDIA GB300 GPUs to be installed... by the end of calendar year 2025",True,,item_1_business,0001878848-25-000063,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/iren-20250630.htm,evidence_valid,,
JBL,Jabil Inc.,demand_and_revenue,Intelligent Infrastructure revenue surges 34% driven by cloud and data center demand,current_fact,5,"The Intelligent Infrastructure segment, which includes AI infrastructure, saw a 34% net revenue increase, with cloud/data center revenues up 30% and capital equipment up 10%.",Intelligent Infrastructure segment net revenue increased 34% primarily due to: (i) a 30% increase in revenues from existing customers within our cloud and data center infrastructure business and (ii) a 10% increase in revenues from existing customers within our capital equipment business.,True,,item_7_mdna,0001628280-25-045293,https://www.sec.gov/Archives/edgar/data/898293/000162828025045293/jbl-20250831.htm,evidence_valid,,
JCI,Johnson Controls International plc,capital_allocation,Divestiture of R&LC HVAC business generated $5.6 billion in net proceeds,current_fact,5,The company completed the sale of its Residential and Light Commercial HVAC business to Robert Bosch GmbH for approximately $5.6 billion after tax and expenses.,The Company received net cash proceeds related to the sale of its R&LC HVAC business of approximately $5.6 billion after tax...,True,,item_1a_risk_factors,0000833444-25-000097,https://www.sec.gov/Archives/edgar/data/833444/000083344425000097/jci-20250930.htm,evidence_valid,,
JNJ,Johnson & Johnson,technology_and_product,Stelara biosimilar erosion accelerates,current_fact,5,"Second largest product Stelara accounted for 6.5% of 2025 revenue, with continued biosimilar launches negatively impacting sales.","Sales of the Company’s second largest product, STELARA (ustekinumab) accounted for approximately 6.5% of the Company's total revenues for fiscal 2025.",True,,item_7_mdna,0000200406-26-000016,https://www.sec.gov/Archives/edgar/data/200406/000020040626000016/jnj-20251228.htm,evidence_valid,,
KLAC,KLA Corporation,regulatory_or_geopolitical,China export controls reduced revenue share and backlog,current_fact,5,"U.S. export restrictions on semiconductors to China caused a reduction in backlog, required return of deposits, and decreased revenue from Chinese customers to 33% in FY2025 from 43% in FY2024.","Our revenue from sales of products and provision of services to customers in China was 33%, 43% and 27% for fiscal years 2025, 2024 and 2023, respectively",True,,item_1a_risk_factors,0000319201-25-000024,https://www.sec.gov/Archives/edgar/data/319201/000031920125000024/klac-20250630.htm,evidence_valid,,
LMT,Lockheed Martin Corporation,customer_concentration,F-35 program represents 27% of consolidated sales,current_fact,5,"The F-35 program is the company's largest program, accounting for 27% of total consolidated sales in 2025, creating significant customer concentration risk.",The F-35 program... is our largest program and represented 27% of our total consolidated sales in 2025.,True,,item_1a_risk_factors,0001628280-26-004195,https://www.sec.gov/Archives/edgar/data/936468/000162828026004195/lmt-20251231.htm,evidence_valid,,
LRCX,Lam Research Corporation,regulatory_or_geopolitical,China export controls and trade disputes pose material risk,risk_hypothetical,5,The company discloses that sales to China are impacted by export license requirements and that trade disputes could materially adversely affect future revenue and profits.,A significant trade dispute... could have a materially adverse impact on our future revenue and profits... export licenses... has limited and could in the future further limit the market,True,,item_1a_risk_factors,0000707549-25-000075,https://www.sec.gov/Archives/edgar/data/707549/000070754925000075/lrcx-20250629.htm,evidence_valid,,
MCHP,Microchip Technology Inc.,regulatory_or_geopolitical,Middle East conflict disrupts critical semiconductor material supply,current_fact,5,"Iranian drone strikes halted helium production in Qatar, and bromine supplies from Israel/Jordan are at risk, impacting wafer fabrication.","Qatar accounts for more than one‑third of the world’s helium production, and recent Iranian drone strikes halted operations at major helium facilities.",True,,item_1_business,0000827054-26-000016,https://www.sec.gov/Archives/edgar/data/827054/000082705426000016/mchp-20260331.htm,evidence_valid,,
